contract_award_unique_key,award_id_piid,parent_award_id_piid,federal_action_obligation,total_dollars_obligated,base_and_exercised_options_value,current_total_value_of_award,base_and_all_options_value,potential_total_value_of_award,primary_place_of_performance_city_name,primary_place_of_performance_state_code,type_of_contract_pricing,contract_bundling,naics_description,extent_competed,solicitation_procedures,type_of_set_aside,evaluated_preference,number_of_offers_received,commercial_item_acquisition_procedures,small_business_competitiveness_demonstration_program,performance_based_service_acquisition,multi_year_contract,woman_owned_business,women_owned_small_business,economically_disadvantaged_women_owned_small_business,minority_owned_business,subcontinent_asian_asian_indian_american_owned_business,asian_pacific_american_owned_business,black_american_owned_business,hispanic_american_owned_business,native_american_owned_business,other_minority_owned_business
CONT_AWD_68HERH21F0222_6800_EPW17013_6800,68HERH21F0222,EPW17013,38026.95,80795.6,38026.95,80795.6,0,80795.6,WASHINGTON,DC,TIME AND MATERIALS,NOT BUNDLED,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,,NO PREFERENCE USED,,COMMERCIAL ITEM PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,YES,t,t,t,f,f,f,f,f,f,f
CONT_AWD_68HERC19C0015_6800_-NONE-_-NONE-,68HERC19C0015,,0,1510595.2,0,2023968,0,3445824,CINCINNATI,OH,FIRM FIXED PRICE,NOT BUNDLED,FACILITIES SUPPORT SERVICES,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,8(A) SOLE SOURCE,NO PREFERENCE USED,1,COMMERCIAL ITEM,f,YES - SERVICE WHERE PBA IS USED.,NO,t,t,t,t,f,f,t,f,f,f
CONT_AWD_68HE0221F0091_6800_68HE0220D0002_6800,68HE0221F0091,68HE0220D0002,7000000,7000000,7000000,7000000,7000000,7000000,KINGSTON,NY,TIME AND MATERIALS,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,3,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,YES,f,f,f,f,f,f,f,f,f,f
CONT_AWD_EPG11H00057_6800_DOCCM130105CT0027_1301,EPG11H00057,DOCCM130105CT0027,814400.32,29266052.79,0,34976387.12,0,34976387.12,WASHINGTON,DC,COST PLUS AWARD FEE,NOT A BUNDLED REQUIREMENT,OTHER COMPUTER RELATED SERVICES,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,2,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,NO,f,f,f,t,t,f,f,f,f,f
CONT_IDV_68HE0421D0012_6800,68HE0421D0012,,150000,0,,,181511762.8,181511762.8,,,TIME AND MATERIALS,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,SMALL BUSINESS SET ASIDE - TOTAL,NO PREFERENCE USED,5,COMMERCIAL ITEM,f,YES - SERVICE WHERE PBA IS USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_IDV_68HERD21A0006_6800,68HERD21A0006,GS35F0059S,0,0,,,106757425.6,106757425.6,,,TIME AND MATERIALS,NOT BUNDLED,OTHER COMPUTER RELATED SERVICES,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,15,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,,f,f,f,t,t,f,f,f,f,f
CONT_AWD_EPG18H01444_6800_GS03F0151X_4732,EPG18H01444,GS03F0151X,0,7600000,3175552.01,15904310.05,0,15904460.05,DERWOOD,MD,TIME AND MATERIALS,NOT BUNDLED,COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,SMALL BUSINESS SET ASIDE - TOTAL,NO PREFERENCE USED,1,COMMERCIAL ITEM,f,YES - SERVICE WHERE PBA IS USED.,,t,t,t,t,f,f,f,t,f,f
CONT_AWD_68HERD21F0246_6800_GS07F0206W_4730,68HERD21F0246,GS07F0206W,5931,5931,5931,5931,11557,11557,DURHAM,NC,FIRM FIXED PRICE,NOT BUNDLED,RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,1,COMMERCIAL ITEM,f,NOT APPLICABLE,,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HERC21C0006_6800_-NONE-_-NONE-,68HERC21C0006,,-25866.93,727516.69,-25866.93,727516.69,-25866.93,727516.69,CORVALLIS,OR,FIRM FIXED PRICE,NOT BUNDLED,OFFICE FURNITURE (EXCEPT WOOD) MANUFACTURING,NOT COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,8(A) SOLE SOURCE,NO PREFERENCE USED,1,COMMERCIAL ITEM,f,NOT APPLICABLE,NO,f,f,f,t,f,f,f,t,f,f
CONT_AWD_68HERD21F0106_6800_47QTCA20D0006_4732,68HERD21F0106,47QTCA20D0006,100000,7129661.53,0,10578046.45,0,61498760.57,WASHINGTON,DC,TIME AND MATERIALS,NOT BUNDLED,CUSTOM COMPUTER PROGRAMMING SERVICES,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,SMALL BUSINESS SET ASIDE - TOTAL,NO PREFERENCE USED,4,COMMERCIAL ITEM,f,NO - SERVICE WHERE PBA IS NOT USED.,,f,f,f,t,f,t,f,f,f,f
